Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output._Main.HumanModel.BodyModel.Right.Leg.Jnt.Ankle.Acc
 3.383401000000000e+00,-2.869879087357333e+00
 3.400068000000000e+00,-1.215190558506468e+00
 3.416735000000000e+00,-6.312708510434994e-01
 3.433402000000000e+00,-6.567686862452204e-01
 3.450069000000000e+00,-5.227544741831034e-01
 3.466736000000000e+00, 2.686650938199397e-01
 3.483403000000000e+00, 1.460472963766622e+00
 3.500070000000000e+00, 3.291632593836333e+00
 3.516737000000000e+00, 5.275856176904131e+00
 3.533404000000000e+00, 6.766845101800006e+00
 3.550071000000000e+00, 7.828034948064037e+00
 3.566738000000000e+00, 8.305285204644621e+00
 3.583405000000000e+00, 8.119308699162437e+00
 3.600072000000000e+00, 7.059341306629317e+00
 3.616739000000000e+00, 4.898271921124472e+00
 3.633406000000000e+00, 1.625795700667892e+00
 3.650073000000000e+00,-2.677666063853306e+00
 3.666740000000000e+00,-7.936657695920568e+00
 3.683407000000000e+00,-1.412608186619380e+01
 3.700074000000000e+00,-2.160746461402304e+01
 3.716741000000000e+00,-3.135608834771663e+01
 3.733408000000000e+00,-4.390482129510719e+01
 3.750075000000000e+00,-5.706335897573844e+01
 3.766742000000000e+00,-6.476333737860706e+01
 3.783409000000000e+00,-5.867508981130688e+01
 3.800076000000000e+00,-3.218852393031689e+01
 3.816743000000000e+00, 1.275613542641455e+01
 3.833410000000000e+00, 6.062012749220145e+01
 3.850077000000000e+00, 9.054940893795768e+01
 3.866744000000000e+00, 9.319115488320108e+01
 3.883411000000000e+00, 7.510643203918242e+01
 3.900078000000000e+00, 4.903567761942021e+01
 3.916745000000000e+00, 2.475083960892046e+01
 3.933412000000000e+00, 6.702989371831448e+00
 3.950079000000000e+00,-4.623588970991942e+00
 3.966746000000000e+00,-1.110325838747687e+01
 3.983413000000000e+00,-1.415975821067708e+01
 4.000080000000001e+00,-1.686790806316716e+01
 4.016747000000001e+00,-2.025712234469810e+01
 4.033414000000000e+00,-2.429762657461222e+01
 4.050081000000000e+00,-2.787415256687816e+01
 4.066748000000000e+00,-2.969972388479339e+01
 4.083415000000000e+00,-2.910968289219784e+01
 4.100082000000000e+00,-2.571366386586283e+01
 4.116749000000000e+00,-1.815438967818098e+01
 4.133416000000000e+00,-4.962640889540803e+00
 4.150083000000000e+00, 1.105761479063254e+01
 4.166750000000000e+00, 2.182122417410233e+01
 4.183417000000000e+00, 2.161392499897768e+01
 4.200084000000000e+00, 1.131464139619990e+01
 4.216751000000000e+00,-3.958761200600196e+00
 4.233418000000000e+00,-1.667368959946221e+01
 4.250085000000000e+00,-2.004727856447650e+01
 4.266752000000000e+00,-1.147882204736760e+01
 4.283419000000000e+00, 5.515888396381385e+00
 4.300086000000000e+00, 2.250927542466336e+01
 4.316753000000000e+00, 3.182450288934315e+01
 4.333420000000000e+00, 3.126459665047191e+01
 4.350087000000000e+00, 2.340151644901003e+01
 4.366754000000000e+00, 1.244353585496482e+01
 4.383421000000000e+00, 1.953600214866365e+00
 4.400088000000000e+00,-5.799891244220302e+00
 4.416755000000000e+00,-9.936461174658881e+00
 4.433422000000000e+00,-1.080768775033434e+01
 4.450089000000000e+00,-9.308524824803659e+00
 4.466756000000000e+00,-6.566100052110080e+00
 4.483423000000000e+00,-3.739000894564545e+00
 4.500090000000000e+00,-1.750402355573455e+00
 4.516757000000000e+00,-9.044888330978732e-01
 4.533424000000000e+00,-7.293147520300061e-01
 4.550091000000000e+00,-3.150775966878027e-01
 4.566758000000000e+00, 1.041299315212681e+00
 4.583425000000000e+00, 3.136400767892789e+00
 4.600092000000000e+00, 5.740097820376827e+00
 4.616759000000000e+00, 8.530196275382195e+00
 4.633426000000000e+00, 9.612413987791701e+00
 4.650093000000000e+00, 9.190575939017522e+00
 4.666760000000000e+00, 7.475785932438956e+00
 4.683427000000000e+00, 5.212569096419572e+00
 4.700094000000000e+00, 3.063803234060158e+00
 4.716761000000000e+00, 1.110691274406151e+00
 4.733428000000000e+00,-1.007604403706486e+00
 4.750095000000000e+00,-3.836574803288293e+00
 4.766762000000000e+00,-7.783835613141459e+00
 4.783429000000000e+00,-1.293990192137188e+01
 4.800096000000000e+00,-1.940531319718867e+01
 4.816763000000000e+00,-2.773343884167909e+01
 4.833430000000000e+00,-3.851461555268979e+01
 4.850097000000000e+00,-5.079524533439794e+01
 4.866764000000000e+00,-6.053697583951238e+01
 4.883431000000000e+00,-6.069946821688230e+01
 4.900098000000000e+00,-4.360050278949583e+01
 4.916765000000000e+00,-6.893023478391765e+00
 4.933432000000000e+00, 3.931399075110066e+01
 4.950099000000000e+00, 7.571890363525938e+01
 4.966766000000000e+00, 8.919091130644759e+01
 4.983433000000000e+00, 8.118717089935529e+01
 5.000100000000000e+00, 6.111629809397967e+01
 5.016767000000000e+00, 3.775978656204515e+01
 5.033434000000000e+00, 1.680571334702101e+01
 5.050101000000000e+00, 1.125745087673543e+00
 5.066768000000001e+00,-8.440268299045517e+00
 5.083435000000000e+00,-1.296187546297445e+01
 5.100102000000001e+00,-1.504773902729774e+01
 5.116769000000000e+00,-1.659056115426111e+01
 5.133436000000001e+00,-1.888136675002638e+01
 5.150103000000000e+00,-2.224466658242900e+01
 5.166770000000000e+00,-2.612891079908739e+01
 5.183437000000001e+00,-2.912561190946183e+01
 5.200104000000000e+00,-2.887275453621432e+01
 5.216771000000000e+00,-2.229743758049912e+01
 5.233438000000000e+00,-7.479324187706021e+00
 5.250105000000000e+00, 1.277074984005166e+01
 5.266772000000000e+00, 2.919821314724789e+01
 5.283439000000000e+00, 3.263687275390671e+01
 5.300106000000000e+00, 2.173719812573845e+01
 5.316773000000000e+00, 1.601218919756183e+00
 5.333440000000000e+00,-1.911202530089345e+01
 5.350107000000000e+00,-3.213610073232121e+01
 5.366774000000000e+00,-3.307318001327629e+01
 5.383441000000000e+00,-2.176445778258743e+01
 5.400108000000000e+00,-2.783594578116602e+00
 5.416775000000000e+00, 1.642661612844534e+01
 5.433442000000000e+00, 2.943251368559450e+01
 5.450109000000000e+00, 3.342731030108680e+01
 5.466775999999999e+00, 2.909625855230578e+01
 5.483443000000000e+00, 1.960259920952787e+01
 5.500110000000000e+00, 8.850551736363890e+00
 5.516777000000000e+00,-2.145265920945654e-01
 5.533444000000000e+00,-6.133929022164535e+00
 5.550111000000000e+00,-8.642577562439904e+00
 5.566778000000000e+00,-8.168468983010325e+00
 5.583445000000000e+00,-6.269997344808404e+00
 5.600112000000000e+00,-4.376132182810075e+00
 5.616779000000000e+00,-3.285829913809917e+00
 5.633446000000000e+00,-2.844013602679048e+00
 5.650113000000000e+00,-2.420428085290040e+00
 5.666780000000000e+00,-1.594182976331215e+00
 5.683447000000000e+00,-4.033110839853719e-01
 5.700114000000001e+00, 9.743268760971596e-01
 5.716781000000000e+00, 2.573531456044844e+00
 5.733448000000001e+00, 4.467726420255434e+00
 5.750115000000000e+00, 6.343244215521011e+00
 5.766782000000000e+00, 7.616285322209154e+00
 5.783449000000000e+00, 8.073369575545080e+00
 5.800116000000000e+00, 8.135815270626066e+00
 5.816783000000001e+00, 7.974109756058554e+00
 5.833450000000000e+00, 7.134568541257866e+00
 5.850117000000001e+00, 5.231070720929281e+00
 5.866784000000000e+00, 2.316323878394227e+00
 5.883451000000001e+00,-1.502253254457734e+00
 5.900118000000000e+00,-6.300098435043072e+00
 5.916785000000001e+00,-1.233602997983905e+01
 5.933452000000001e+00,-2.016081770433567e+01
 5.950119000000000e+00,-3.087796302374018e+01
 5.966786000000001e+00,-4.515400199608722e+01
 5.983453000000000e+00,-6.053047110016421e+01
 6.000120000000001e+00,-6.998351821881865e+01
 6.016787000000001e+00,-6.420818593497739e+01
 6.033454000000001e+00,-3.706539476453393e+01
 6.050121000000001e+00, 8.122348796852602e+00
 6.066788000000001e+00, 5.694550185042962e+01
 6.083455000000001e+00, 9.146707345434346e+01
 6.100122000000001e+00, 1.011970323886894e+02
 6.116789000000001e+00, 8.745029528307916e+01
 6.133456000000001e+00, 6.001317042441304e+01
 6.150123000000001e+00, 3.084864235499152e+01
 6.166790000000001e+00, 8.175461392498097e+00
 6.183457000000001e+00,-6.215773327864458e+00
 6.200124000000001e+00,-1.418378240247786e+01
 6.216791000000001e+00,-1.934658309029910e+01
 6.233458000000001e+00,-2.418405264393913e+01
 6.250125000000001e+00,-2.942617681057592e+01
 6.266792000000001e+00,-3.476451112463071e+01
 6.283459000000001e+00,-3.888621555661003e+01
 6.300126000000001e+00,-3.951045615311462e+01
 6.316793000000001e+00,-3.411558786168350e+01
 6.333460000000001e+00,-2.141326202488190e+01
 6.350127000000001e+00,-2.265444182435426e+00
 6.366794000000001e+00, 1.967925907076031e+01
 6.383461000000000e+00, 3.673878996142633e+01
 6.400128000000000e+00, 4.106477730430561e+01
 6.416795000000000e+00, 3.097091464857684e+01
 6.433462000000000e+00, 1.041202411223170e+01
 6.450129000000000e+00,-1.367855172310611e+01
 6.466796000000000e+00,-3.321040016614170e+01
 6.483463000000000e+00,-4.161344348822229e+01
 6.500130000000000e+00,-3.503241246852748e+01
 6.516797000000000e+00,-1.374626843901808e+01
 6.533464000000000e+00, 1.434545581146905e+01
 6.550131000000000e+00, 3.653398299312381e+01
 6.566798000000000e+00, 4.431550276883854e+01
 6.583465000000000e+00, 3.820125428837680e+01
 6.600132000000000e+00, 2.446853333911453e+01
 6.616799000000000e+00, 9.530906757760553e+00
 6.633466000000000e+00,-2.535426642588043e+00
 6.650133000000000e+00,-9.929231414057986e+00
 6.666800000000000e+00,-1.240007447825942e+01
 6.683467000000000e+00,-1.120018393917687e+01
 6.700134000000000e+00,-8.327462814150410e+00
 6.716801000000000e+00,-5.389855958424877e+00
 6.733468000000000e+00,-3.161131157971139e+00
 6.750135000000000e+00,-1.762747496170735e+00
 6.766802000000000e+00,-9.782631939668860e-01
 6.783469000000000e+00,-3.653614094097006e-01
 6.800136000000000e+00, 6.158656305248734e-01
 6.816803000000000e+00, 2.314352565033831e+00
 6.833470000000000e+00, 4.624631186606561e+00
 6.850137000000000e+00, 6.995873105847014e+00
 6.866804000000000e+00, 8.731787363877469e+00
 6.883471000000000e+00, 9.335266475549345e+00
 6.900138000000000e+00, 8.725217964493785e+00
 6.916805000000000e+00, 7.297237322214801e+00
 6.933472000000000e+00, 5.484858445536331e+00
 6.950139000000000e+00, 3.190923394381728e+00
 6.966806000000000e+00, 1.972015212241919e-01
 6.983473000000000e+00,-3.476166034025578e+00
 7.000140000000000e+00,-7.811333596977302e+00
 7.016807000000000e+00,-1.300891575676651e+01
 7.033474000000000e+00,-1.967387785714428e+01
 7.050141000000000e+00,-2.902481290842878e+01
 7.066808000000000e+00,-4.207626326845846e+01
 7.083475000000000e+00,-5.726905870214324e+01
 7.100142000000000e+00,-6.881236790510067e+01
 7.116809000000000e+00,-6.805606106391713e+01
 7.133476000000000e+00,-4.760040943283321e+01
 7.150143000000000e+00,-6.864117269968652e+00
 7.166810000000000e+00, 4.362149186306918e+01
 7.183477000000000e+00, 8.508093372524830e+01
 7.200144000000000e+00, 1.020388912690656e+02
 7.216811000000001e+00, 9.219127114561860e+01
 7.233478000000000e+00, 6.522052800094298e+01
 7.250145000000000e+00, 3.482725801014730e+01
 7.266812000000000e+00, 1.096082703348383e+01
 7.283479000000000e+00,-3.281243214070729e+00
 7.300146000000000e+00,-9.737937594142128e+00
 7.316813000000000e+00,-1.203718610934382e+01
 7.333480000000001e+00,-1.340832445317013e+01
 7.350147000000000e+00,-1.593614788275024e+01
 7.366814000000000e+00,-2.028627280055138e+01
 7.383481000000001e+00,-2.550282339229062e+01
 7.400148000000001e+00,-2.942258223192526e+01
 7.416815000000001e+00,-2.981654501973794e+01
 7.433482000000000e+00,-2.552847932917354e+01
 7.450149000000001e+00,-1.675728995799032e+01
 7.466816000000001e+00,-4.600746291937519e+00
 7.483483000000001e+00, 8.558153463790521e+00
 7.500150000000001e+00, 1.828968875109233e+01
 7.516817000000001e+00, 2.026216154436498e+01
 7.533484000000001e+00, 1.338794901305585e+01
 7.550151000000000e+00,-1.383871285407840e-01
 7.566818000000000e+00,-1.562016490051327e+01
 7.583485000000000e+00,-2.639421009959169e+01
 7.600152000000000e+00,-2.637885130510618e+01
 7.616819000000000e+00,-1.413557049302491e+01
 7.633486000000000e+00, 5.294026527163314e+00
 7.650153000000000e+00, 2.339369381365071e+01
 7.666820000000000e+00, 3.376153334651745e+01
 7.683487000000000e+00, 3.502769960141451e+01
 7.700154000000000e+00, 2.935429553447354e+01
 7.716821000000000e+00, 1.978160298432266e+01
 7.733488000000000e+00, 9.084995409633304e+00
 7.750155000000000e+00,-4.916769860958956e-01
 7.766822000000000e+00,-7.497074906761118e+00
 7.783489000000000e+00,-1.125585929021309e+01
 7.800156000000000e+00,-1.171032508782354e+01
 7.816823000000000e+00,-9.539774056489373e+00
 7.833490000000000e+00,-6.212750071888543e+00
 7.850157000000000e+00,-3.418507620446922e+00
 7.866824000000000e+00,-2.091080860595500e+00
 7.883491000000000e+00,-1.919721715355259e+00
 7.900158000000001e+00,-1.851649299085810e+00
 7.916825000000000e+00,-1.061375915050514e+00
 7.933492000000000e+00, 5.375391239171179e-01
 7.950159000000000e+00, 2.524499387964542e+00
 7.966826000000000e+00, 4.464619315116520e+00
 7.983493000000000e+00, 6.095741206608089e+00
 8.000160000000001e+00, 7.232712861386295e+00
 8.016827000000001e+00, 7.746081619335855e+00
 8.033494000000001e+00, 7.673492961364320e+00
 8.050160999999999e+00, 7.277130755983830e+00
 8.066828000000001e+00, 6.787737877717964e+00
 8.083495000000001e+00, 5.939559782386446e+00
 8.100162000000001e+00, 4.163272469217621e+00
 8.116828999999999e+00, 1.190237102466541e+00
 8.133496000000001e+00,-2.764209972298527e+00
 8.150162999999999e+00,-7.250361298445240e+00
 8.166830000000001e+00,-1.226981706568939e+01
 8.183496999999999e+00,-1.790614204164878e+01
 8.200164000000001e+00,-2.509510757188890e+01
 8.216830999999999e+00,-3.512048058190241e+01
 8.233498000000001e+00,-4.786648273537028e+01
 8.250165000000001e+00,-6.024078622327850e+01
 8.266832000000001e+00,-6.626328424903696e+01
 8.283498999999999e+00,-5.860776942141894e+01
 8.300166000000001e+00,-3.184103154599342e+01
 8.316833000000001e+00, 1.169929440918794e+01
 8.333500000000001e+00, 5.791686428000621e+01
 8.350166999999999e+00, 8.822722897571968e+01
 8.366834000000001e+00, 9.394768981361810e+01
 8.383501000000001e+00, 7.986662093337947e+01
 8.400168000000001e+00, 5.671486704126478e+01
 8.416834999999999e+00, 3.326472006082670e+01
 8.433502000000001e+00, 1.433340381865818e+01
 8.450169000000001e+00, 1.461154351527578e+00
 8.466836000000001e+00,-6.204292905196569e+00
 8.483503000000001e+00,-1.090154937243181e+01
 8.500170000000001e+00,-1.503125724655164e+01
 8.516836999999999e+00,-2.002461157964048e+01
 8.533504000000001e+00,-2.566504497862052e+01
 8.550171000000001e+00,-3.032432370802320e+01
 8.566838000000001e+00,-3.194828446618603e+01
 8.583504999999999e+00,-2.906160562514647e+01
 8.600172000000001e+00,-2.132642385206921e+01
 8.616839000000001e+00,-9.501504043798668e+00
 8.633506000000001e+00, 4.712284145854297e+00
 8.650173000000001e+00, 1.803338722398204e+01
 8.666840000000001e+00, 2.457258800672010e+01
 8.683507000000001e+00, 1.963040125310246e+01
 8.700174000000001e+00, 5.678783943466229e+00
 8.716841000000001e+00,-1.142374729287569e+01
 8.733508000000000e+00,-2.619773137698238e+01
 8.750175000000000e+00,-3.335454495098298e+01
 8.766842000000000e+00,-2.963091789526123e+01
 8.783509000000000e+00,-1.580366681878505e+01
 8.800176000000000e+00, 3.538929342068114e+00
 8.816843000000000e+00, 2.195871726598858e+01
 8.833510000000000e+00, 3.398703747555412e+01
 8.850177000000000e+00, 3.667572102608153e+01
 8.866844000000000e+00, 3.065546824146949e+01
 8.883511000000000e+00, 1.943404511561743e+01
 8.900178000000000e+00, 7.495272409073960e+00
 8.916845000000000e+00,-1.801372786333570e+00
 8.933512000000000e+00,-7.017219579109763e+00
 8.950179000000000e+00,-8.267781160054790e+00
 8.966846000000000e+00,-6.746743119620982e+00
 8.983513000000000e+00,-4.309571896065777e+00
 9.000180000000000e+00,-2.686173627130101e+00
 9.016847000000000e+00,-2.573277069817458e+00
 9.033514000000000e+00,-3.352441935243550e+00
 9.050181000000000e+00,-3.753629138178425e+00
 9.066848000000000e+00,-3.154812315735682e+00
 9.083515000000000e+00,-1.490683800787708e+00
 9.100182000000000e+00, 8.032286417553968e-01
 9.116849000000000e+00, 3.332355173645324e+00
 9.133516000000000e+00, 5.908264410191840e+00
 9.150183000000000e+00, 8.365258941840915e+00
 9.166850000000000e+00, 1.032572544125419e+01
 9.183517000000000e+00, 1.117050086878310e+01
 9.200184000000000e+00, 1.024724550103866e+01
 9.216851000000000e+00, 7.202684089214078e+00
 9.233518000000000e+00, 2.064005604940221e+00
 9.250185000000000e+00,-4.994548652596702e+00
 9.266852000000000e+00,-1.372394930372218e+01
 9.283519000000002e+00,-2.345072775009021e+01
 9.300186000000000e+00,-3.277227344149122e+01
 9.316853000000000e+00,-3.950470743889807e+01
 9.333520000000000e+00,-4.073298726431802e+01
 9.350187000000002e+00,-3.351037538173237e+01
 9.366854000000000e+00,-1.690262860162846e+01
 9.383521000000000e+00, 5.902293341741813e+00
