Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output._Main.HumanModel.BodyModel.Right.Leg.Jnt.Ankle.Vel
 3.383401000000000e+00, 2.838620049465723e-01
 3.400068000000000e+00, 2.498190770525215e-01
 3.416735000000000e+00, 2.344315908962025e-01
 3.433402000000000e+00, 2.236977134120779e-01
 3.450069000000000e+00, 2.138681571547660e-01
 3.466736000000000e+00, 2.117507033035123e-01
 3.483403000000000e+00, 2.261604753064077e-01
 3.500070000000000e+00, 2.657621469707534e-01
 3.516737000000000e+00, 3.371593146424984e-01
 3.533404000000000e+00, 4.375171657474154e-01
 3.550071000000000e+00, 5.591435986431309e-01
 3.566738000000000e+00, 6.935906221371679e-01
 3.583405000000000e+00, 8.304649754329274e-01
 3.600072000000000e+00, 9.569562552561565e-01
 3.616739000000000e+00, 1.056605025089822e+00
 3.633406000000000e+00, 1.110973342616718e+00
 3.650073000000000e+00, 1.102207580945187e+00
 3.666740000000000e+00, 1.013753113892977e+00
 3.683407000000000e+00, 8.298932737503556e-01
 3.700074000000000e+00, 5.321077641608669e-01
 3.716741000000000e+00, 9.073599555366826e-02
 3.733408000000000e+00,-5.364507949608468e-01
 3.750075000000000e+00,-1.377869125239786e+00
 3.766742000000000e+00,-2.393111899321011e+00
 3.783409000000000e+00,-3.421786032291899e+00
 3.800076000000000e+00,-4.178997957397659e+00
 3.816743000000000e+00,-4.340937766989669e+00
 3.833410000000000e+00,-3.729456679975522e+00
 3.850077000000000e+00,-2.469685348141861e+00
 3.866744000000000e+00,-9.384833595228597e-01
 3.883411000000000e+00, 4.640245810793166e-01
 3.900078000000000e+00, 1.498562851920658e+00
 3.916745000000000e+00, 2.113462793248994e+00
 3.933412000000000e+00, 2.375583277056936e+00
 3.950079000000000e+00, 2.392911960297336e+00
 3.966746000000000e+00, 2.261852277835380e+00
 3.983413000000000e+00, 2.051322929012529e+00
 4.000080000000001e+00, 1.792753872122345e+00
 4.016747000000001e+00, 1.483372431218506e+00
 4.033414000000000e+00, 1.112075431098544e+00
 4.050081000000000e+00, 6.773019096186239e-01
 4.066748000000000e+00, 1.975100102133588e-01
 4.083415000000000e+00,-2.925781811675279e-01
 4.100082000000000e+00,-7.494485413715470e-01
 4.116749000000000e+00,-1.115022965585179e+00
 4.133416000000000e+00,-1.307668739819056e+00
 4.150083000000000e+00,-1.256876274813304e+00
 4.166750000000000e+00,-9.828804703040724e-01
 4.183417000000000e+00,-6.209136546702331e-01
 4.200084000000000e+00,-3.465034466154902e-01
 4.216751000000000e+00,-2.852032190051079e-01
 4.233418000000000e+00,-4.571437477460698e-01
 4.250085000000000e+00,-7.631579359445267e-01
 4.266752000000000e+00,-1.025880695390036e+00
 4.283419000000000e+00,-1.075572802970571e+00
 4.300086000000000e+00,-8.420251002679188e-01
 4.316753000000000e+00,-3.892345586881354e-01
 4.333420000000000e+00, 1.365184523279062e-01
 4.350087000000000e+00, 5.920785058469880e-01
 4.366754000000000e+00, 8.907932492188780e-01
 4.383421000000000e+00, 1.010771782657010e+00
 4.400088000000000e+00, 9.787187163632457e-01
 4.416755000000000e+00, 8.475798234820895e-01
 4.433422000000000e+00, 6.747084584156267e-01
 4.450089000000000e+00, 5.070700009203896e-01
 4.466756000000000e+00, 3.747788145072762e-01
 4.483423000000000e+00, 2.889012557690295e-01
 4.500090000000000e+00, 2.431553137836604e-01
 4.516757000000000e+00, 2.210307780631329e-01
 4.533424000000000e+00, 2.074154758864363e-01
 4.550091000000000e+00, 1.987120322482223e-01
 4.566758000000000e+00, 2.047640009394809e-01
 4.583425000000000e+00, 2.395788645823451e-01
 4.600092000000000e+00, 3.135511655667951e-01
 4.616759000000000e+00, 4.324726614141022e-01
 4.633426000000000e+00, 5.836641040440174e-01
 4.650093000000000e+00, 7.403588205971545e-01
 4.666760000000000e+00, 8.792479472529200e-01
 4.683427000000000e+00, 9.849863538858713e-01
 4.700094000000000e+00, 1.053957502701997e+00
 4.716761000000000e+00, 1.088745652688332e+00
 4.733428000000000e+00, 1.089604727125282e+00
 4.750095000000000e+00, 1.049235759703743e+00
 4.766762000000000e+00, 9.523970694984910e-01
 4.783429000000000e+00, 7.796958027545412e-01
 4.800096000000000e+00, 5.101469525640224e-01
 4.816763000000000e+00, 1.173161624481078e-01
 4.833430000000000e+00,-4.347619988473270e-01
 4.850097000000000e+00,-1.179025724549897e+00
 4.866764000000000e+00,-2.106812789702621e+00
 4.883431000000000e+00,-3.117136696245627e+00
 4.900098000000000e+00,-3.986320504622128e+00
 4.916765000000000e+00,-4.407108305766697e+00
 4.933432000000000e+00,-4.136928175000786e+00
 4.950099000000000e+00,-3.178301549641773e+00
 4.966766000000000e+00,-1.804025606824737e+00
 4.983433000000000e+00,-3.841798587474300e-01
 5.000100000000000e+00, 8.017061000946536e-01
 5.016767000000000e+00, 1.625689951575607e+00
 5.033434000000000e+00, 2.080411545068469e+00
 5.050101000000000e+00, 2.229843353935034e+00
 5.066768000000001e+00, 2.168887774753700e+00
 5.083435000000000e+00, 1.990533009710808e+00
 5.100102000000001e+00, 1.757114887358984e+00
 5.116769000000000e+00, 1.493457112795291e+00
 5.133436000000001e+00, 1.197851801602445e+00
 5.150103000000000e+00, 8.551280028303433e-01
 5.166770000000000e+00, 4.520067957212284e-01
 5.183437000000001e+00,-8.456769270197126e-03
 5.200104000000000e+00,-4.917861560463869e-01
 5.216771000000000e+00,-9.182129520556915e-01
 5.233438000000000e+00,-1.166357596248612e+00
 5.250105000000000e+00,-1.122261500573854e+00
 5.266772000000000e+00,-7.725131475233546e-01
 5.283439000000000e+00,-2.572104591650894e-01
 5.300106000000000e+00, 1.959158605161870e-01
 5.316773000000000e+00, 3.904065589624267e-01
 5.333440000000000e+00, 2.444802539848926e-01
 5.350107000000000e+00,-1.825960043186714e-01
 5.366774000000000e+00,-7.260175454053912e-01
 5.383441000000000e+00,-1.183006999977294e+00
 5.400108000000000e+00,-1.387578194325646e+00
 5.416775000000000e+00,-1.273884074234157e+00
 5.433442000000000e+00,-8.917170159335310e-01
 5.450109000000000e+00,-3.678746727404602e-01
 5.466775999999999e+00, 1.531654882992954e-01
