Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output._Main.HumanModel.BodyModel.Right.Leg.Jnt.Ankle.Pos
 3.383401000000000e+00, 3.939493291724047e-01
 3.400068000000000e+00, 4.165982149427780e-01
 3.416735000000000e+00, 4.377912902851524e-01
 3.433402000000000e+00, 4.560882687232501e-01
 3.450069000000000e+00, 4.695102335964361e-01
 3.466736000000000e+00, 4.753853866871014e-01
 3.483403000000000e+00, 4.703013245188236e-01
 3.500070000000000e+00, 4.501697658273671e-01
 3.516737000000000e+00, 4.103843088765703e-01
 3.533404000000000e+00, 3.462313655901454e-01
 3.550071000000000e+00, 2.542924992103467e-01
 3.566738000000000e+00, 1.352514047334074e-01
 3.583405000000000e+00,-3.009127985321380e-03
 3.600072000000000e+00,-1.439645308534878e-01
 3.616739000000000e+00,-2.661757830336780e-01
 3.633406000000000e+00,-3.513042175229909e-01
 3.650073000000000e+00,-3.903369549056614e-01
 3.666740000000000e+00,-3.841153993719946e-01
 3.683407000000000e+00,-3.403312170249250e-01
 3.700074000000000e+00,-2.705189167565715e-01
 3.716741000000000e+00,-1.873610897395576e-01
 3.733408000000000e+00,-1.018641308953354e-01
 3.750075000000000e+00,-2.156975423284375e-02
 3.766742000000000e+00, 4.965851765799986e-02
 3.783409000000000e+00, 1.106682994368995e-01
 3.800076000000000e+00, 1.616284940219646e-01
 3.816743000000000e+00, 2.028334769604865e-01
 3.833410000000000e+00, 2.339954754362466e-01
 3.850077000000000e+00, 2.541408925660225e-01
 3.866744000000000e+00, 2.622036794349688e-01
 3.883411000000000e+00, 2.582372997037736e-01
 3.900078000000000e+00, 2.446157806822262e-01
 3.916745000000000e+00, 2.260504154818827e-01
 3.933412000000000e+00, 2.078248970571269e-01
 3.950079000000000e+00, 1.934704670390877e-01
 3.966746000000000e+00, 1.835146171020154e-01
 3.983413000000000e+00, 1.757339592765265e-01
 4.000080000000001e+00, 1.668735735258479e-01
 4.016747000000001e+00, 1.550763757777705e-01
 4.033414000000000e+00, 1.413092487472831e-01
 4.050081000000000e+00, 1.287721828371496e-01
 4.066748000000000e+00, 1.209138668569705e-01
 4.083415000000000e+00, 1.196483061499052e-01
 4.100082000000000e+00, 1.248500343465913e-01
 4.116749000000000e+00, 1.349355618349540e-01
 4.133416000000000e+00, 1.477524723444119e-01
 4.150083000000000e+00, 1.613023462134987e-01
 4.166750000000000e+00, 1.742199856089975e-01
 4.183417000000000e+00, 1.859874525611751e-01
 4.200084000000000e+00, 1.968035817388627e-01
 4.216751000000000e+00, 2.071865914246636e-01
 4.233418000000000e+00, 2.176576000321404e-01
 4.250085000000000e+00, 2.286317536270303e-01
 4.266752000000000e+00, 2.405312536703743e-01
 4.283419000000000e+00, 2.538885870798325e-01
 4.300086000000000e+00, 2.692524651673757e-01
 4.316753000000000e+00, 2.869757399030017e-01
 4.333420000000000e+00, 3.070745007713153e-01
 4.350087000000000e+00, 3.292440678537726e-01
 4.366754000000000e+00, 3.529520426807780e-01
 4.383421000000000e+00, 3.774999882635414e-01
 4.400088000000000e+00, 4.020272399904073e-01
 4.416755000000000e+00, 4.254820372421649e-01
 4.433422000000000e+00, 4.465206379485998e-01
 4.450089000000000e+00, 4.632972721298581e-01
 4.466756000000000e+00, 4.732535390625198e-01
 4.483423000000000e+00, 4.730389541428134e-01
 4.500090000000000e+00, 4.585673837430249e-01
 4.516757000000000e+00, 4.251346729651360e-01
 4.533424000000000e+00, 3.678023693925596e-01
 4.550091000000000e+00, 2.831180367082778e-01
 4.566758000000000e+00, 1.715321435150154e-01
 4.583425000000000e+00, 4.038276452227715e-02
 4.600092000000000e+00,-9.479643129983202e-02
 4.616759000000000e+00,-2.136537117934384e-01
 4.633426000000000e+00,-2.983167857081828e-01
 4.650093000000000e+00,-3.394652596339278e-01
 4.666760000000000e+00,-3.374460493599956e-01
 4.683427000000000e+00,-2.998186735329386e-01
 4.700094000000000e+00,-2.378052065602850e-01
 4.716761000000000e+00,-1.632371332604772e-01
 4.733428000000000e+00,-8.624374813964177e-02
 4.750095000000000e+00,-1.376709233098196e-02
 4.766762000000000e+00, 5.064520517027486e-02
 4.783429000000000e+00, 1.061323558586952e-01
 4.800096000000000e+00, 1.533195928423771e-01
 4.816763000000000e+00, 1.929685804334258e-01
 4.833430000000000e+00, 2.248965093348652e-01
 4.850097000000000e+00, 2.476278504262230e-01
 4.866764000000000e+00, 2.590673543299635e-01
 4.883431000000000e+00, 2.580215625312063e-01
 4.900098000000000e+00, 2.457856559916354e-01
 4.916765000000000e+00, 2.265762555976944e-01
 4.933432000000000e+00, 2.059259435002151e-01
 4.950099000000000e+00, 1.879413305915462e-01
 4.966766000000000e+00, 1.736830818542846e-01
 4.983433000000000e+00, 1.614578472126317e-01
 5.000100000000000e+00, 1.485759050381796e-01
 5.016767000000000e+00, 1.336613525493927e-01
 5.033434000000000e+00, 1.179983446453964e-01
 5.050101000000000e+00, 1.048989581610871e-01
 5.066768000000001e+00, 9.764213089309194e-02
 5.083435000000000e+00, 9.770932930452174e-02
 5.100102000000001e+00, 1.044502655200718e-01
 5.116769000000000e+00, 1.158666649882497e-01
 5.133436000000001e+00, 1.295983422646877e-01
 5.150103000000000e+00, 1.436245422814921e-01
 5.166770000000000e+00, 1.566815500118687e-01
 5.183437000000001e+00, 1.684249253938626e-01
 5.200104000000000e+00, 1.792494621020778e-01
 5.216771000000000e+00, 1.898368293263682e-01
 5.233438000000000e+00, 2.007949874167890e-01
 5.250105000000000e+00, 2.125253488297552e-01
 5.266772000000000e+00, 2.254152678387768e-01
 5.283439000000000e+00, 2.399755557593265e-01
 5.300106000000000e+00, 2.567285562509369e-01
 5.316773000000000e+00, 2.759630331506173e-01
 5.333440000000000e+00, 2.975920450760949e-01
 5.350107000000000e+00, 3.212134746672261e-01
 5.366774000000000e+00, 3.462535888871447e-01
 5.383441000000000e+00, 3.720349113669076e-01
 5.400108000000000e+00, 3.977451989308705e-01
 5.416775000000000e+00, 4.223750622095039e-01
 5.433442000000000e+00, 4.446036392376679e-01
 5.450109000000000e+00, 4.625862079281121e-01
