Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output._Main.HumanModel.BodyModel.Right.Leg.Jnt.Ankle.Acc
 3.383401000000000e+00,-5.932437163509066e+00
 3.400068000000000e+00,-6.100941197325330e+00
 3.416735000000000e+00,-5.504700552864239e+00
 3.433402000000000e+00,-4.467552051707421e+00
 3.450069000000000e+00,-3.158470351354981e+00
 3.466736000000000e+00,-1.655721031495630e+00
 3.483403000000000e+00,-1.889978901535728e-02
 3.500070000000000e+00, 1.673282026074993e+00
 3.516737000000000e+00, 3.342836529811879e+00
 3.533404000000000e+00, 4.897764707537640e+00
 3.550071000000000e+00, 6.186910613477339e+00
 3.566738000000000e+00, 7.011026331204873e+00
 3.583405000000000e+00, 7.155027258942069e+00
 3.600072000000000e+00, 6.477577362204118e+00
 3.616739000000000e+00, 5.056172140780646e+00
 3.633406000000000e+00, 3.224932200673523e+00
 3.650073000000000e+00, 1.418609551136365e+00
 3.666740000000000e+00,-4.322432389280596e-02
 3.683407000000000e+00,-9.942645122171567e-01
 3.700074000000000e+00,-1.368813624882783e+00
 3.716741000000000e+00,-1.202292939686491e+00
 3.733408000000000e+00,-6.173963484496686e-01
 3.750075000000000e+00, 2.148166608399009e-01
 3.766742000000000e+00, 1.085530461992204e+00
 3.783409000000000e+00, 1.756711155864693e+00
 3.800076000000000e+00, 1.990600160773596e+00
 3.816743000000000e+00, 1.547723191669990e+00
 3.833410000000000e+00, 1.344818120906110e-01
 3.850077000000000e+00,-2.589148309969049e+00
 3.866744000000000e+00,-6.834497775002965e+00
 3.883411000000000e+00,-1.251261481329132e+01
 3.900078000000000e+00,-1.935702331021359e+01
 3.916745000000000e+00,-2.728920765656091e+01
 3.933412000000000e+00,-3.671586415731336e+01
 3.950079000000000e+00,-4.857443418423185e+01
 3.966746000000000e+00,-6.310399917484042e+01
 3.983413000000000e+00,-7.720375279634828e+01
 4.000080000000001e+00,-8.378074181895342e+01
 4.016747000000001e+00,-7.497832814869136e+01
 4.033414000000000e+00,-4.619610572819152e+01
 4.050081000000000e+00, 1.979091468252041e-01
 4.066748000000000e+00, 5.217580934752267e+01
 4.083415000000000e+00, 9.248556592480934e+01
 4.100082000000000e+00, 1.106165508578071e+02
 4.116749000000000e+00, 1.088606031236014e+02
 4.133416000000000e+00, 9.556105860658533e+01
 4.150083000000000e+00, 7.652725265008515e+01
 4.166750000000000e+00, 5.386213766163382e+01
 4.183417000000000e+00, 2.977802150251566e+01
 4.200084000000000e+00, 8.495171513525493e+00
 4.216751000000000e+00,-6.182087366889465e+00
 4.233418000000000e+00,-1.348796192299937e+01
 4.250085000000000e+00,-1.535478822665749e+01
 4.266752000000000e+00,-1.455467560562478e+01
 4.283419000000000e+00,-1.323420606002744e+01
 4.300086000000000e+00,-1.228391636887316e+01
 4.316753000000000e+00,-1.154554079913897e+01
 4.333420000000000e+00,-1.058617948679259e+01
 4.350087000000000e+00,-9.422704128398360e+00
 4.366754000000000e+00,-8.462353535233452e+00
 4.383421000000000e+00,-7.852907725569059e+00
 4.400088000000000e+00,-7.379656025866595e+00
 4.416755000000000e+00,-7.232761686934313e+00
 4.433422000000000e+00,-7.766362596803241e+00
 4.450089000000000e+00,-8.706393837393790e+00
 4.466756000000000e+00,-1.081332924833745e+01
 4.483423000000000e+00,-1.632437882339335e+01
 4.500090000000000e+00,-2.583088190325958e+01
 4.516757000000000e+00,-3.592881789643796e+01
 4.533424000000000e+00,-4.051402997084703e+01
 4.550091000000000e+00,-3.481067523612904e+01
 4.566758000000000e+00,-1.866512294462267e+01
 4.583425000000000e+00, 3.304404058231444e+00
 4.600092000000000e+00, 2.426352642644896e+01
 4.616759000000000e+00, 3.879058708078863e+01
 4.633426000000000e+00, 4.459785390248347e+01
 4.650093000000000e+00, 4.172434283113680e+01
 4.666760000000000e+00, 3.197430421918936e+01
 4.683427000000000e+00, 1.908452693309542e+01
 4.700094000000000e+00, 7.362417958241574e+00
 4.716761000000000e+00,-6.864508897006820e-01
 4.733428000000000e+00,-5.063332898450780e+00
 4.750095000000000e+00,-7.035351780309575e+00
 4.766762000000000e+00,-7.712404892452342e+00
 4.783429000000000e+00,-7.469251350365818e+00
 4.800096000000000e+00,-6.268097379484578e+00
 4.816763000000000e+00,-4.238310920026300e+00
 4.833430000000000e+00,-1.835973967666980e+00
 4.850097000000000e+00, 4.200195871324444e-01
 4.866764000000000e+00, 2.250315498747454e+00
 4.883431000000000e+00, 3.644904099223581e+00
 4.900098000000000e+00, 4.647753808905663e+00
 4.916765000000000e+00, 5.222375909420358e+00
 4.933432000000000e+00, 5.250659069467416e+00
 4.950099000000000e+00, 4.636481369662450e+00
 4.966766000000000e+00, 3.463280089835973e+00
 4.983433000000000e+00, 2.057296258730793e+00
 5.000100000000000e+00, 8.649875869425537e-01
 5.016767000000000e+00, 2.089007316544661e-01
 5.033434000000000e+00, 1.804838715221991e-01
 5.050101000000000e+00, 7.187245636718282e-01
 5.066768000000001e+00, 1.663478457602114e+00
 5.083435000000000e+00, 2.697510750999155e+00
 5.100102000000001e+00, 3.346264624770376e+00
 5.116769000000000e+00, 3.164926506783690e+00
 5.133436000000001e+00, 1.826088789571807e+00
 5.150103000000000e+00,-9.106970682441548e-01
 5.166770000000000e+00,-5.137617749272085e+00
 5.183437000000001e+00,-1.067605490140234e+01
 5.200104000000000e+00,-1.726977087315840e+01
 5.216771000000000e+00,-2.504116288998395e+01
 5.233438000000000e+00,-3.468248972606482e+01
 5.250105000000000e+00,-4.724459819015399e+01
 5.266772000000000e+00,-6.296342509535452e+01
 5.283439000000000e+00,-7.898216680756639e+01
 5.300106000000000e+00,-8.823210719675006e+01
 5.316773000000000e+00,-8.249099048756155e+01
 5.333440000000000e+00,-5.716216582909117e+01
 5.350107000000000e+00,-1.369559163469986e+01
 5.366774000000000e+00, 3.923503438336604e+01
 5.383441000000000e+00, 8.625079646425033e+01
 5.400108000000000e+00, 1.135465764262778e+02
 5.416775000000000e+00, 1.191070202647809e+02
 5.433442000000000e+00, 1.098506948805382e+02
 5.450109000000000e+00, 9.138060318873654e+01
 5.466775999999999e+00, 6.543220877183388e+01
 5.483443000000000e+00, 3.483335661263048e+01
 5.500110000000000e+00, 6.191609893323474e+00
 5.516777000000000e+00,-1.406796388350017e+01
 5.533444000000000e+00,-2.404574602856960e+01
 5.550111000000000e+00,-2.578520426728744e+01
 5.566778000000000e+00,-2.245784580449359e+01
 5.583445000000000e+00,-1.666718480677596e+01
 5.600112000000000e+00,-1.014739492894446e+01
 5.616779000000000e+00,-4.134886714678805e+00
 5.633446000000000e+00, 9.415254344751466e-02
 5.650113000000000e+00, 1.204161543371407e+00
 5.666780000000000e+00,-1.402302017613667e+00
 5.683447000000000e+00,-6.957222070612475e+00
 5.700114000000001e+00,-1.360482495693285e+01
 5.716781000000000e+00,-1.848702797761941e+01
 5.733448000000001e+00,-1.889248265473438e+01
 5.750115000000000e+00,-1.640597035083945e+01
 5.766782000000000e+00,-1.660070648655504e+01
 5.783449000000000e+00,-2.255404900351546e+01
 5.800116000000000e+00,-3.182637929538928e+01
 5.816783000000001e+00,-3.845511490829502e+01
 5.833450000000000e+00,-3.612244432071479e+01
 5.850117000000001e+00,-2.167813720736496e+01
 5.866784000000000e+00, 2.020404846855908e+00
 5.883451000000001e+00, 2.674117134829081e+01
 5.900118000000000e+00, 4.348054492948481e+01
 5.916785000000001e+00, 4.776161366342200e+01
 5.933452000000001e+00, 4.129461720946254e+01
 5.950119000000000e+00, 2.927165231037874e+01
 5.966786000000001e+00, 1.654719350570748e+01
 5.983453000000000e+00, 5.920099436304712e+00
 6.000120000000001e+00,-1.599462634216669e+00
 6.016787000000001e+00,-6.112287809831104e+00
 6.033454000000001e+00,-8.212694038355446e+00
 6.050121000000001e+00,-8.408288645509371e+00
 6.066788000000001e+00,-7.039138382175682e+00
 6.083455000000001e+00,-4.566052088107668e+00
 6.100122000000001e+00,-1.623487456293661e+00
 6.116789000000001e+00, 1.205647249765860e+00
 6.133456000000001e+00, 3.529542241869183e+00
 6.150123000000001e+00, 5.137937873934952e+00
 6.166790000000001e+00, 5.935708473043360e+00
 6.183457000000001e+00, 5.911402118541293e+00
 6.200124000000001e+00, 5.113648497417887e+00
 6.216791000000001e+00, 3.700749457769041e+00
 6.233458000000001e+00, 1.993346431792328e+00
 6.250125000000001e+00, 4.049187291781517e-01
 6.266792000000001e+00,-7.235400236929190e-01
 6.283459000000001e+00,-1.210115542634517e+00
 6.300126000000001e+00,-1.043768611884588e+00
 6.316793000000001e+00,-3.357037808502609e-01
 6.333460000000001e+00, 7.594131905331201e-01
 6.350127000000001e+00, 2.025317080469952e+00
 6.366794000000001e+00, 3.026355930905016e+00
 6.383461000000000e+00, 3.077072711548522e+00
 6.400128000000000e+00, 1.484209806829349e+00
 6.416795000000000e+00,-2.082359070386882e+00
 6.433462000000000e+00,-7.416796228251778e+00
 6.450129000000000e+00,-1.409008378440782e+01
 6.466796000000000e+00,-2.197059945501661e+01
 6.483463000000000e+00,-3.139724779931439e+01
 6.500130000000000e+00,-4.286086259296810e+01
 6.516797000000000e+00,-5.623632414697521e+01
 6.533464000000000e+00,-6.965907335726106e+01
 6.550131000000000e+00,-7.890888175669097e+01
 6.566798000000000e+00,-7.857006067321581e+01
 6.583465000000000e+00,-6.467957825361525e+01
 6.600132000000000e+00,-3.596246803835899e+01
 6.616799000000000e+00, 5.799902702813771e+00
 6.633466000000000e+00, 5.295013314694886e+01
 6.650133000000000e+00, 9.203624158429767e+01
 6.666800000000000e+00, 1.131062430726222e+02
 6.683467000000000e+00, 1.161438730405130e+02
 6.700134000000000e+00, 1.052407696129652e+02
 6.716801000000000e+00, 8.275626561335181e+01
 6.733468000000000e+00, 5.164937177207236e+01
 6.750135000000000e+00, 1.905502936101594e+01
 6.766802000000000e+00,-6.350483425954979e+00
 6.783469000000000e+00,-1.987313133721642e+01
 6.800136000000000e+00,-2.231455434226026e+01
 6.816803000000000e+00,-1.774359175245648e+01
 6.833470000000000e+00,-1.101138354568527e+01
 6.850137000000000e+00,-6.015797539716715e+00
 6.866804000000000e+00,-4.473674522880924e+00
 6.883471000000000e+00,-5.575885496336882e+00
 6.900138000000000e+00,-7.101836765785031e+00
 6.916805000000000e+00,-7.493085307822677e+00
 6.933472000000000e+00,-7.286144648438763e+00
 6.950139000000000e+00,-8.416298768072679e+00
 6.966806000000000e+00,-1.171128980616123e+01
 6.983473000000000e+00,-1.523344792781283e+01
 7.000140000000000e+00,-1.628704232586212e+01
 7.016807000000000e+00,-1.562209352585494e+01
 7.033474000000000e+00,-1.750318339034959e+01
 7.050141000000000e+00,-2.490432998203179e+01
 7.066808000000000e+00,-3.523612113872270e+01
 7.083475000000000e+00,-4.076305248286601e+01
 7.100142000000000e+00,-3.432136288385255e+01
 7.116809000000000e+00,-1.532151240228782e+01
 7.133476000000000e+00, 9.585126470165672e+00
 7.150143000000000e+00, 3.105289636525435e+01
 7.166810000000000e+00, 4.275331995592568e+01
 7.183477000000000e+00, 4.370543557196794e+01
 7.200144000000000e+00, 3.649168994477125e+01
 7.216811000000001e+00, 2.480342833343412e+01
 7.233478000000000e+00, 1.235801420259547e+01
 7.250145000000000e+00, 2.216964879371475e+00
 7.266812000000000e+00,-4.206651689639852e+00
 7.283479000000000e+00,-7.270701370652374e+00
 7.300146000000000e+00,-8.005834898541011e+00
 7.316813000000000e+00,-7.223631110467245e+00
 7.333480000000001e+00,-5.422388934360395e+00
 7.350147000000000e+00,-2.951465373256607e+00
 7.366814000000000e+00,-1.420418846817630e-01
 7.383481000000001e+00, 2.602749102501027e+00
 7.400148000000001e+00, 4.854352447117530e+00
 7.416815000000001e+00, 6.296949641121783e+00
 7.433482000000000e+00, 6.829025733686579e+00
 7.450149000000001e+00, 6.532198438115198e+00
 7.466816000000001e+00, 5.584943645777818e+00
 7.483483000000001e+00, 4.220906869312427e+00
 7.500150000000001e+00, 2.703388663311482e+00
 7.516817000000001e+00, 1.331020683950191e+00
 7.533484000000001e+00, 4.434535529847695e-01
 7.550151000000000e+00, 3.123043542459102e-01
 7.566818000000000e+00, 9.530135712224864e-01
 7.583485000000000e+00, 2.069837750529045e+00
 7.600152000000000e+00, 3.202316340251415e+00
 7.616819000000000e+00, 3.856564130130248e+00
 7.633486000000000e+00, 3.532918529258405e+00
 7.650153000000000e+00, 1.837222267686664e+00
 7.666820000000000e+00,-1.296556546624510e+00
 7.683487000000000e+00,-5.528984290735649e+00
 7.700154000000000e+00,-1.045368764065394e+01
 7.716821000000000e+00,-1.604593674957561e+01
 7.733488000000000e+00,-2.280514224057089e+01
 7.750155000000000e+00,-3.171937646589814e+01
 7.766822000000000e+00,-4.400666477885619e+01
 7.783489000000000e+00,-6.013572018374791e+01
 7.800156000000000e+00,-7.770123442313914e+01
 7.816823000000000e+00,-9.024928750661785e+01
 7.833490000000000e+00,-8.960438067610237e+01
 7.850157000000000e+00,-6.881593357459653e+01
 7.866824000000000e+00,-2.491556864490947e+01
 7.883491000000000e+00, 3.462159595201793e+01
 7.900158000000001e+00, 8.971633848836268e+01
 7.916825000000000e+00, 1.217100388959475e+02
 7.933492000000000e+00, 1.276356379237038e+02
 7.950159000000000e+00, 1.151110170479226e+02
 7.966826000000000e+00, 9.137626661894032e+01
 7.983493000000000e+00, 6.154761698249662e+01
 8.000160000000001e+00, 3.105181254149213e+01
 8.016827000000001e+00, 5.194258223017300e+00
 8.033494000000001e+00,-1.281722570935442e+01
 8.050160999999999e+00,-2.243781228748977e+01
 8.066828000000001e+00,-2.511526398352185e+01
 8.083495000000001e+00,-2.320825792834852e+01
 8.100162000000001e+00,-1.892525565229898e+01
 8.116828999999999e+00,-1.380782911478791e+01
 8.133496000000001e+00,-8.780245435510503e+00
 8.150162999999999e+00,-4.547325247670639e+00
 8.166830000000001e+00,-1.927238464744018e+00
 8.183496999999999e+00,-1.860181228643092e+00
 8.200164000000001e+00,-4.839737176443694e+00
 8.216830999999999e+00,-1.005690237064706e+01
 8.233498000000001e+00,-1.533737578543078e+01
 8.250165000000001e+00,-1.833408923586628e+01
 8.266832000000001e+00,-1.873846084691526e+01
 8.283498999999999e+00,-1.957213818441105e+01
 8.300166000000001e+00,-2.457204714742835e+01
 8.316833000000001e+00,-3.302462329595928e+01
 8.333500000000001e+00,-3.775023039092088e+01
 8.350166999999999e+00,-3.005861195625765e+01
 8.366834000000001e+00,-7.983630181848636e+00
 8.383501000000001e+00, 2.050777854976842e+01
 8.400168000000001e+00, 4.304603307747751e+01
 8.416834999999999e+00, 5.195721372287225e+01
 8.433502000000001e+00, 4.789475634408501e+01
 8.450169000000001e+00, 3.617006952039041e+01
 8.466836000000001e+00, 2.202763500631729e+01
 8.483503000000001e+00, 8.969374898740949e+00
 8.500170000000001e+00,-9.923642908698829e-01
 8.516836999999999e+00,-7.151422123586324e+00
 8.533504000000001e+00,-1.013077613392291e+01
 8.550171000000001e+00,-1.115636674712805e+01
 8.566838000000001e+00,-1.104807589810079e+01
 8.583504999999999e+00,-1.037501045516672e+01
 8.600172000000001e+00,-8.510912165028117e+00
 8.616839000000001e+00,-6.349772868172753e+00
 8.633506000000001e+00,-4.050623414873108e+00
 8.650173000000001e+00,-2.147736772079703e+00
 8.666840000000001e+00, 1.999091270648705e-01
 8.683507000000001e+00, 2.210884732253862e+00
 8.700174000000001e+00, 3.996539652177221e+00
 8.716841000000001e+00, 5.479268993980389e+00
 8.733508000000000e+00, 6.480705041188978e+00
 8.750175000000000e+00, 6.776814844524082e+00
 8.766842000000000e+00, 6.284411799871731e+00
 8.783509000000000e+00, 5.198525366891376e+00
 8.800176000000000e+00, 3.836761663521713e+00
 8.816843000000000e+00, 2.480798966480236e+00
 8.833510000000000e+00, 1.381645534222014e+00
 8.850177000000000e+00, 7.611606709509496e-01
 8.866844000000000e+00, 5.184993870306738e-01
 8.883511000000000e+00, 1.335598279976940e-01
 8.900178000000000e+00,-9.756688231429186e-01
 8.916845000000000e+00,-3.109971512159216e+00
 8.933512000000000e+00,-6.227753084514510e+00
 8.950179000000000e+00,-1.019755724229288e+01
 8.966846000000000e+00,-1.515154816314250e+01
 8.983513000000000e+00,-2.157407425041562e+01
 9.000180000000000e+00,-3.014744410614855e+01
 9.016847000000000e+00,-4.146436882296600e+01
 9.033514000000000e+00,-5.552425683089186e+01
 9.050181000000000e+00,-7.049709694467539e+01
 9.066848000000000e+00,-8.146706383507502e+01
 9.083515000000000e+00,-8.179955375136591e+01
 9.100182000000000e+00,-6.592175755411787e+01
 9.116849000000000e+00,-3.119673015001925e+01
 9.133516000000000e+00, 1.852915057071936e+01
 9.150183000000000e+00, 7.003246194536419e+01
 9.166850000000000e+00, 1.070248562009584e+02
 9.183517000000000e+00, 1.221130572903236e+02
 9.200184000000000e+00, 1.182124367524004e+02
 9.216851000000000e+00, 1.005445546640907e+02
 9.233518000000000e+00, 7.320000605626790e+01
 9.250185000000000e+00, 4.123659558834286e+01
 9.266852000000000e+00, 1.137807415712910e+01
 9.283519000000002e+00,-1.052312384685485e+01
 9.300186000000000e+00,-2.201322032022260e+01
 9.316853000000000e+00,-2.440326670384493e+01
 9.333520000000000e+00,-2.120683202127285e+01
 9.350187000000002e+00,-1.609178355266928e+01
 9.366854000000000e+00,-1.156386923652474e+01
 9.383521000000000e+00,-8.615135907984833e+00
