Series0,
AXIS0,OUTPUT
Main.Studies.MarkerTracking.Output.Abscissa.t,Main.Studies.MarkerTracking.Output._Main.HumanModel.BodyModel.Right.Leg.Jnt.Ankle.Pos
 3.333400000000000e+00,-9.646967820361782e-02
 3.350067000000000e+00,-8.419149012776224e-02
 3.366734000000000e+00,-7.223260697236773e-02
 3.383401000000000e+00,-6.152047597602876e-02
 3.400068000000000e+00,-5.245631010840105e-02
 3.416735000000000e+00,-4.508691791783598e-02
 3.433402000000000e+00,-3.924667037812671e-02
 3.450069000000000e+00,-3.464745915941943e-02
 3.466736000000000e+00,-3.092563591054830e-02
 3.483403000000000e+00,-2.766375356751683e-02
 3.500070000000000e+00,-2.440712137587362e-02
 3.516737000000000e+00,-2.068567002922676e-02
 3.533404000000000e+00,-1.603561583685792e-02
 3.550071000000000e+00,-1.002501702780190e-02
 3.566738000000000e+00,-2.295763193125817e-03
 3.583405000000000e+00, 7.381075856935852e-03
 3.600072000000000e+00, 1.904550197997733e-02
 3.616739000000000e+00, 3.250932712187324e-02
 3.633406000000000e+00, 4.737770070534905e-02
 3.650073000000000e+00, 6.314192462195975e-02
 3.666740000000000e+00, 7.930022250970570e-02
 3.683407000000000e+00, 9.544651316053669e-02
 3.700074000000000e+00, 1.113166081771497e-01
 3.716741000000000e+00, 1.268064619776600e-01
 3.733408000000000e+00, 1.419623321581997e-01
 3.750075000000000e+00, 1.569466964930267e-01
 3.766742000000000e+00, 1.719907345094113e-01
 3.783409000000000e+00, 1.873363208268030e-01
 3.800076000000000e+00, 2.031699019844772e-01
 3.816743000000000e+00, 2.195564497492566e-01
 3.833410000000000e+00, 2.363729378199320e-01
 3.850077000000000e+00, 2.532267834437829e-01
 3.866744000000000e+00, 2.693613924351494e-01
 3.883411000000000e+00, 2.835974538827400e-01
 3.900078000000000e+00, 2.943576499628651e-01
 3.916745000000000e+00, 2.997406800433009e-01
 3.933412000000000e+00, 2.975430714471607e-01
 3.950079000000000e+00, 2.851462037380857e-01
 3.966746000000000e+00, 2.592558979231676e-01
 3.983413000000000e+00, 2.158360022860210e-01
 4.000080000000001e+00, 1.509697619329611e-01
 4.016747000000001e+00, 6.283016239041289e-02
 4.033414000000000e+00,-4.613758362762686e-02
 4.050081000000000e+00,-1.679380945320511e-01
 4.066748000000000e+00,-2.896836284746199e-01
 4.083415000000000e+00,-3.969353023058362e-01
 4.100082000000000e+00,-4.784955135302868e-01
 4.116749000000000e+00,-5.293276759869318e-01
 4.133416000000000e+00,-5.499195724459529e-01
 4.150083000000000e+00,-5.439656686029779e-01
 4.166750000000000e+00,-5.167533442680441e-01
 4.183417000000000e+00,-4.745787165529293e-01
 4.200084000000000e+00,-4.241320853280114e-01
 4.216751000000000e+00,-3.713255898464765e-01
 4.233418000000000e+00,-3.202364095462760e-01
 4.250085000000000e+00,-2.728940352035376e-01
 4.266752000000000e+00,-2.298170504231119e-01
 4.283419000000000e+00,-1.907831928089285e-01
 4.300086000000000e+00,-1.554256505929583e-01
 4.316753000000000e+00,-1.234804438576664e-01
 4.333420000000000e+00,-9.474246007387191e-02
 4.350087000000000e+00,-6.894519932847334e-02
 4.366754000000000e+00,-4.576546109427373e-02
 4.383421000000000e+00,-2.493647064695402e-02
 4.400088000000000e+00,-6.288930712156652e-03
 4.416755000000000e+00, 1.030862277406848e-02
 4.433422000000000e+00, 2.489699542682121e-02
 4.450089000000000e+00, 3.732795884226421e-02
 4.466756000000000e+00, 4.734038278640925e-02
 4.483423000000000e+00, 5.434898401229031e-02
 4.500090000000000e+00, 5.682285418120230e-02
 4.516757000000000e+00, 5.212119236435728e-02
 4.533424000000000e+00, 3.743890414096896e-02
 4.550091000000000e+00, 1.150226854308058e-02
 4.566758000000000e+00,-2.410438585407525e-02
 4.583425000000000e+00,-6.489600401704909e-02
 4.600092000000000e+00,-1.047696954479496e-01
 4.616759000000000e+00,-1.379032488296235e-01
 4.633426000000000e+00,-1.602612081224651e-01
 4.650093000000000e+00,-1.702303791279451e-01
 4.666760000000000e+00,-1.686089912941074e-01
 4.683427000000000e+00,-1.581054970146779e-01
 4.700094000000000e+00,-1.423005332014105e-01
 4.716761000000000e+00,-1.244503714831772e-01
 4.733428000000000e+00,-1.067908981949469e-01
 4.750095000000000e+00,-9.053796252721040e-02
 4.766762000000000e+00,-7.623936941425262e-02
 4.783429000000000e+00,-6.408319668789252e-02
 4.800096000000000e+00,-5.400189899581122e-02
 4.816763000000000e+00,-4.566180911091850e-02
 4.833430000000000e+00,-3.849907490773108e-02
 4.850097000000000e+00,-3.184635387326117e-02
 4.866764000000000e+00,-2.507695606432565e-02
 4.883431000000000e+00,-1.768244561308466e-02
 4.900098000000000e+00,-9.275421301621971e-03
 4.916765000000000e+00, 4.226973770125721e-04
 4.933432000000000e+00, 1.157153405698140e-02
 4.950099000000000e+00, 2.417894548662350e-02
 4.966766000000000e+00, 3.807431992480955e-02
 4.983433000000000e+00, 5.293175509143767e-02
 5.000100000000000e+00, 6.836068430013045e-02
 5.016767000000000e+00, 8.402989744960407e-02
 5.033434000000000e+00, 9.975714090122605e-02
 5.050101000000000e+00, 1.155345207670073e-01
 5.066768000000001e+00, 1.315115543308245e-01
 5.083435000000001e+00, 1.479506837272542e-01
 5.100102000000001e+00, 1.651391516382604e-01
 5.116769000000001e+00, 1.832571746816879e-01
 5.133436000000001e+00, 2.022543791431990e-01
 5.150103000000001e+00, 2.217588507807905e-01
 5.166770000000001e+00, 2.410103408915746e-01
 5.183437000000001e+00, 2.588346578756838e-01
 5.200104000000001e+00, 2.736932854298252e-01
 5.216771000000000e+00, 2.837545625198284e-01
 5.233438000000000e+00, 2.868596827913845e-01
 5.250105000000000e+00, 2.803303927741931e-01
 5.266772000000000e+00, 2.606770783145501e-01
 5.283439000000000e+00, 2.235332239500311e-01
 5.300106000000000e+00, 1.644490012172267e-01
 5.316773000000000e+00, 8.085487945207551e-02
 5.333440000000000e+00,-2.565432291319502e-02
 5.350107000000000e+00,-1.480425398169634e-01
 5.366774000000000e+00,-2.742352399053211e-01
 5.383441000000000e+00,-3.895288833823599e-01
 5.400108000000000e+00,-4.808630139341656e-01
 5.416775000000000e+00,-5.406551671707479e-01
 5.433442000000000e+00,-5.673607135758454e-01
 5.450109000000000e+00,-5.635509574941946e-01
 5.466776000000000e+00,-5.343566851766033e-01
 5.483443000000000e+00,-4.869860722794737e-01
 5.500110000000000e+00,-4.299391399487785e-01
 5.516777000000000e+00,-3.711722471846947e-01
 5.533444000000000e+00,-3.163132784782688e-01
 5.550111000000000e+00,-2.681339508462923e-01
 5.566778000000000e+00,-2.271174664603614e-01
 5.583445000000000e+00,-1.923395221098029e-01
 5.600112000000000e+00,-1.621915365094978e-01
 5.616779000000001e+00,-1.348623844727476e-01
 5.633446000000000e+00,-1.086818580226220e-01
 5.650113000000000e+00,-8.247517704206485e-02
 5.666780000000000e+00,-5.593399336417900e-02
 5.683447000000000e+00,-2.978235360580430e-02
 5.700114000000000e+00,-5.563352836951789e-03
 5.716781000000000e+00, 1.487637872210197e-02
 5.733448000000000e+00, 3.018061931833645e-02
 5.750115000000000e+00, 4.023673814744193e-02
 5.766782000000000e+00, 4.573546069982556e-02
 5.783449000000000e+00, 4.662269144071499e-02
 5.800116000000000e+00, 4.124465796646674e-02
 5.816783000000000e+00, 2.702560994687717e-02
 5.833450000000000e+00, 2.124158280603905e-03
 5.850117000000001e+00,-3.281170706165185e-02
 5.866784000000001e+00,-7.376951805426742e-02
 5.883451000000001e+00,-1.141660830292378e-01
 5.900118000000001e+00,-1.471342477248186e-01
 5.916785000000001e+00,-1.680240001513293e-01
 5.933452000000001e+00,-1.756461069814312e-01
 5.950119000000001e+00,-1.717970279752330e-01
 5.966786000000001e+00,-1.598166091945022e-01
 5.983453000000001e+00,-1.432395639137556e-01
 6.000120000000001e+00,-1.250179807878260e-01
 6.016787000000001e+00,-1.072407106100522e-01
 6.033454000000001e+00,-9.116136607221519e-02
 6.050121000000000e+00,-7.736341668698943e-02
 6.066788000000001e+00,-6.590119646299747e-02
 6.083455000000001e+00,-5.639437066970165e-02
 6.100122000000001e+00,-4.815594341308622e-02
 6.116789000000001e+00,-4.036850293325717e-02
 6.133456000000001e+00,-3.224614704338589e-02
 6.150123000000001e+00,-2.314332353546916e-02
 6.166790000000001e+00,-1.261323797379751e-02
 6.183457000000001e+00,-4.342785502541310e-04
 6.200124000000001e+00, 1.338680270080210e-02
 6.216791000000001e+00, 2.862839868640417e-02
 6.233458000000001e+00, 4.489802175234973e-02
 6.250125000000001e+00, 6.172137430898294e-02
 6.266792000000001e+00, 7.865720878952617e-02
 6.283459000000001e+00, 9.539205189073732e-02
 6.300126000000001e+00, 1.117907383398017e-01
 6.316793000000001e+00, 1.278994774658004e-01
 6.333460000000001e+00, 1.439149618114831e-01
 6.350127000000001e+00, 1.601414027036521e-01
 6.366794000000001e+00, 1.769304541774801e-01
 6.383461000000000e+00, 1.945601937030619e-01
 6.400128000000000e+00, 2.130447098385649e-01
 6.416795000000000e+00, 2.319415229673616e-01
 6.433462000000000e+00, 2.502598798834947e-01
 6.450129000000000e+00, 2.665179332154439e-01
 6.466796000000000e+00, 2.788619178270322e-01
 6.483463000000000e+00, 2.851027140253498e-01
 6.500130000000000e+00, 2.826217036398699e-01
 6.516797000000000e+00, 2.682344218531132e-01
 6.533464000000000e+00, 2.382253140601222e-01
 6.550131000000000e+00, 1.888656896704811e-01
