Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output._Main.HumanModel.BodyModel.Right.Leg.Jnt.Ankle.Pos
 3.383401000000000e+00, 3.239206081374039e-01
 3.400068000000000e+00, 3.293420082560282e-01
 3.416735000000000e+00, 3.350964101323693e-01
 3.433402000000000e+00, 3.412302745492247e-01
 3.450069000000000e+00, 3.477632749705222e-01
 3.466736000000000e+00, 3.546880640445900e-01
 3.483403000000000e+00, 3.619834007840348e-01
 3.500070000000000e+00, 3.696356412056557e-01
 3.516737000000000e+00, 3.776522142554734e-01
 3.533404000000000e+00, 3.860486372597648e-01
 3.550071000000000e+00, 3.948001970232315e-01
 3.566738000000000e+00, 4.037683829168893e-01
 3.583405000000000e+00, 4.126235131609338e-01
 3.600072000000000e+00, 4.207845403574008e-01
 3.616739000000000e+00, 4.273957839736619e-01
 3.633406000000000e+00, 4.313713985086225e-01
 3.650073000000000e+00, 4.315285161761133e-01
 3.666740000000000e+00, 4.267738331641610e-01
 3.683407000000000e+00, 4.162738264448879e-01
 3.700074000000000e+00, 3.995726543866067e-01
 3.716741000000000e+00, 3.766476919548531e-01
 3.733408000000000e+00, 3.478708972217863e-01
 3.750075000000000e+00, 3.138604698974702e-01
 3.766742000000000e+00, 2.752836725596358e-01
 3.783409000000000e+00, 2.327081360245395e-01
 3.800076000000000e+00, 1.865456587468125e-01
 3.816743000000000e+00, 1.370748272307062e-01
 3.833410000000000e+00, 8.454179723116159e-02
 3.850077000000000e+00, 2.936346551027545e-02
 3.866744000000000e+00,-2.758109898987346e-02
 3.883411000000000e+00,-8.462064553614541e-02
 3.900078000000000e+00,-1.390029388023902e-01
 3.916745000000000e+00,-1.868483869655347e-01
 3.933412000000000e+00,-2.236944012372818e-01
 3.950079000000000e+00,-2.457444871483534e-01
 3.966746000000000e+00,-2.512447190399738e-01
 3.983413000000000e+00,-2.410421653879208e-01
 4.000080000000001e+00,-2.179785886306452e-01
 4.016747000000001e+00,-1.857086819173871e-01
 4.033414000000000e+00,-1.477799157426428e-01
 4.050081000000000e+00,-1.073020973532683e-01
 4.066748000000000e+00,-6.697786223645041e-02
 4.083415000000000e+00,-2.912026557823382e-02
 4.100082000000000e+00, 4.522991014855307e-03
 4.116749000000000e+00, 3.301136817324370e-02
 4.133416000000000e+00, 5.623564610908511e-02
 4.150083000000000e+00, 7.459264381515256e-02
 4.166750000000000e+00, 8.848077655582164e-02
 4.183417000000000e+00, 9.793190177369630e-02
 4.200084000000000e+00, 1.025692056864591e-01
 4.216751000000000e+00, 1.018468169205953e-01
 4.233418000000000e+00, 9.543529256136699e-02
 4.250085000000000e+00, 8.369169204032102e-02
 4.266752000000000e+00, 6.813967492809289e-02
 4.283419000000000e+00, 5.152868633070851e-02
 4.300086000000000e+00, 3.684562089928892e-02
 4.316753000000000e+00, 2.572097929866404e-02
 4.333420000000000e+00, 1.782979959336946e-02
 4.350087000000000e+00, 1.167988686354696e-02
 4.366754000000000e+00, 5.535475434633151e-03
 4.383421000000000e+00,-2.216384040623780e-03
 4.400088000000000e+00,-1.275383441983072e-02
 4.416755000000000e+00,-2.619117010539982e-02
 4.433422000000000e+00,-4.106528415677262e-02
 4.450089000000000e+00,-5.455084763313411e-02
 4.466756000000000e+00,-6.342886403470613e-02
 4.483423000000000e+00,-6.523536965852464e-02
 4.500090000000000e+00,-5.902355322234815e-02
 4.516757000000000e+00,-4.553805163324317e-02
 4.533424000000000e+00,-2.683427592921260e-02
 4.550091000000000e+00,-5.513169480383422e-03
 4.566758000000000e+00, 1.608532976863835e-02
 4.583425000000000e+00, 3.638382918379053e-02
 4.600092000000000e+00, 5.467014856833355e-02
 4.616759000000000e+00, 7.092733841771354e-02
 4.633426000000000e+00, 8.554487102416111e-02
 4.650093000000000e+00, 9.904079166999222e-02
 4.666760000000000e+00, 1.118894916574687e-01
 4.683427000000000e+00, 1.244604159770914e-01
 4.700094000000000e+00, 1.370104894186276e-01
 4.716761000000000e+00, 1.496873212679182e-01
 4.733428000000000e+00, 1.625385370455133e-01
 4.750095000000000e+00, 1.755350826065715e-01
 4.766762000000000e+00, 1.886055068278092e-01
 4.783429000000000e+00, 2.016718830285205e-01
 4.800096000000000e+00, 2.146825299711832e-01
 4.816763000000000e+00, 2.276382228566271e-01
 4.833430000000000e+00, 2.406035060244894e-01
 4.850097000000000e+00, 2.536943809447024e-01
 4.866764000000000e+00, 2.670425156557136e-01
 4.883431000000000e+00, 2.807484641114280e-01
 4.900098000000000e+00, 2.948472778466851e-01
 4.916765000000000e+00, 3.092952963657030e-01
 4.933432000000000e+00, 3.239389264626428e-01
 4.950099000000000e+00, 3.384493427963814e-01
 4.966766000000000e+00, 3.522990703956130e-01
 4.983433000000000e+00, 3.648156684045872e-01
 5.000100000000000e+00, 3.752435391338569e-01
 5.016767000000000e+00, 3.827400370005496e-01
 5.033434000000000e+00, 3.862940105259045e-01
 5.050101000000000e+00, 3.846210441071298e-01
 5.066768000000001e+00, 3.761185404186072e-01
 5.083435000000000e+00, 3.589492623804862e-01
 5.100102000000001e+00, 3.312619634110737e-01
 5.116769000000000e+00, 2.914340938168252e-01
 5.133436000000001e+00, 2.382038494590441e-01
 5.150103000000000e+00, 1.708435125369707e-01
 5.166770000000000e+00, 8.980749039060430e-02
 5.183437000000001e+00,-2.054363826849708e-03
 5.200104000000000e+00,-9.853443289533641e-02
 5.216771000000000e+00,-1.905919801765185e-01
 5.233438000000000e+00,-2.687056712827575e-01
 5.250105000000000e+00,-3.258134212726345e-01
 5.266772000000000e+00,-3.590061294507577e-01
 5.283439000000000e+00,-3.692449411770717e-01
 5.300106000000000e+00,-3.598835715803507e-01
 5.316773000000000e+00,-3.352030485143181e-01
 5.333440000000000e+00,-2.995504291528086e-01
 5.350107000000000e+00,-2.569754813688360e-01
 5.366774000000000e+00,-2.110631471132203e-01
 5.383441000000000e+00,-1.648108159855618e-01
 5.400108000000000e+00,-1.205427353281895e-01
 5.416775000000000e+00,-7.990498428701374e-02
 5.433442000000000e+00,-4.395115365931183e-02
 5.450109000000000e+00,-1.325472678249870e-02
