Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output._Main.HumanModel.BodyModel.Left.Leg.Jnt.Ankle.Acc
 3.383401000000000e+00,-4.025419529129378e+01
 3.400068000000000e+00,-5.224694912652101e+01
 3.416735000000000e+00,-6.205440713906163e+01
 3.433402000000000e+00,-6.409745396172647e+01
 3.450069000000000e+00,-5.126538986137168e+01
 3.466736000000000e+00,-1.966299403807000e+01
 3.483403000000000e+00, 2.482233529620169e+01
 3.500070000000000e+00, 6.702344046488032e+01
 3.516737000000000e+00, 9.355598766761047e+01
 3.533404000000000e+00, 1.011589809943605e+02
 3.550071000000000e+00, 9.321622026346647e+01
 3.566738000000000e+00, 7.401490731139782e+01
 3.583405000000000e+00, 4.824887584318193e+01
 3.600072000000000e+00, 2.174264418159781e+01
 3.616739000000000e+00,-1.843129715329846e-01
 3.633406000000000e+00,-1.455667675473995e+01
 3.650073000000000e+00,-2.089523654935920e+01
 3.666740000000000e+00,-2.064903275988194e+01
 3.683407000000000e+00,-1.657568595174147e+01
 3.700074000000000e+00,-1.184947401323809e+01
 3.716741000000000e+00,-9.029753248289504e+00
 3.733408000000000e+00,-9.371482633855392e+00
 3.750075000000000e+00,-1.269582111940998e+01
 3.766742000000000e+00,-1.768111759467672e+01
 3.783409000000000e+00,-2.245366134398770e+01
 3.800076000000000e+00,-2.467924718799130e+01
 3.816743000000000e+00,-2.108354170889297e+01
 3.833410000000000e+00,-1.092027683515840e+01
 3.850077000000000e+00, 1.507238203572441e-02
 3.866744000000000e+00, 4.768042551086993e+00
 3.883411000000000e+00, 1.952548289298493e+00
 3.900078000000000e+00,-4.481230643114541e+00
 3.916745000000000e+00,-8.736293569934389e+00
 3.933412000000000e+00,-6.477616677297338e+00
 3.950079000000000e+00, 2.580304979725099e+00
 3.966746000000000e+00, 1.429665867567853e+01
 3.983413000000000e+00, 2.300932912316886e+01
 4.000080000000001e+00, 2.510496239820345e+01
 4.016747000000001e+00, 2.046400729835617e+01
 4.033414000000000e+00, 1.179788768860904e+01
 4.050081000000000e+00, 2.765199003966969e+00
 4.066748000000000e+00,-3.945128955435085e+00
 4.083415000000000e+00,-7.332638899160759e+00
 4.100082000000000e+00,-7.611725918991587e+00
 4.116749000000000e+00,-5.564166397225073e+00
 4.133416000000000e+00,-2.236280974362760e+00
 4.150083000000000e+00, 1.282387295531569e+00
 4.166750000000000e+00, 4.148155951638912e+00
 4.183417000000000e+00, 5.897554798359299e+00
 4.200084000000000e+00, 6.375217624995412e+00
 4.216751000000000e+00, 5.659301316825356e+00
 4.233418000000000e+00, 4.015577750228980e+00
 4.250085000000000e+00, 1.789320112205967e+00
 4.266752000000000e+00,-6.804159002841845e-01
 4.283419000000000e+00,-3.052839474677474e+00
 4.300086000000000e+00,-5.052176960238469e+00
 4.316753000000000e+00,-6.634350479408321e+00
 4.333420000000000e+00,-8.073232686888696e+00
 4.350087000000000e+00,-9.985661892508045e+00
 4.366754000000000e+00,-1.321118226698509e+01
 4.383421000000000e+00,-1.846334188254790e+01
 4.400088000000000e+00,-2.628598278164953e+01
 4.416755000000000e+00,-3.692280526938713e+01
 4.433422000000000e+00,-4.971045773487178e+01
 4.450089000000000e+00,-6.227429838884621e+01
 4.466756000000000e+00,-6.967879039211634e+01
 4.483423000000000e+00,-6.451870043906369e+01
 4.500090000000000e+00,-3.991875638967874e+01
 4.516757000000000e+00, 3.725799852464132e+00
 4.533424000000000e+00, 5.327230645027070e+01
 4.550091000000000e+00, 8.946629839961865e+01
 4.566758000000000e+00, 1.026099949858779e+02
 4.583425000000000e+00, 9.689078449594415e+01
 4.600092000000000e+00, 8.080994959096626e+01
 4.616759000000000e+00, 5.998042843626817e+01
 4.633426000000000e+00, 3.749270143299336e+01
 4.650093000000000e+00, 1.598641982505549e+01
 4.666760000000000e+00,-2.026021927348353e+00
 4.683427000000000e+00,-1.462510455022146e+01
 4.700094000000000e+00,-2.095023731046678e+01
 4.716761000000000e+00,-2.172500201610707e+01
 4.733428000000000e+00,-1.920513828098462e+01
 4.750095000000000e+00,-1.619016902016362e+01
 4.766762000000000e+00,-1.477820952583644e+01
 4.783429000000000e+00,-1.565840016525093e+01
 4.800096000000000e+00,-1.820684421513420e+01
 4.816763000000000e+00,-2.118916744566809e+01
 4.833430000000000e+00,-2.305740577700949e+01
 4.850097000000000e+00,-2.074658748728678e+01
 4.866764000000000e+00,-1.193146533445778e+01
 4.883431000000000e+00,-7.497617468004641e-01
 4.900098000000000e+00, 5.193940907327880e+00
 4.916765000000000e+00, 2.774802007524291e+00
 4.933432000000000e+00,-3.994079551255842e+00
 4.950099000000000e+00,-7.578899340846188e+00
 4.966766000000000e+00,-3.106843959557688e+00
 4.983433000000000e+00, 8.040845258429343e+00
 5.000100000000000e+00, 1.976145406631010e+01
 5.016767000000000e+00, 2.600655631077014e+01
 5.033434000000000e+00, 2.463601882793675e+01
 5.050101000000000e+00, 1.749227736214383e+01
 5.066768000000001e+00, 7.929271078947145e+00
 5.083435000000000e+00,-1.021554987497784e+00
 5.100102000000001e+00,-7.198152825988772e+00
 5.116769000000000e+00,-9.742962654371674e+00
 5.133436000000001e+00,-9.196639813174766e+00
 5.150103000000000e+00,-6.818426611169173e+00
 5.166770000000000e+00,-3.768285896078790e+00
 5.183437000000001e+00,-7.687645770364172e-01
 5.200104000000000e+00, 1.830857864766630e+00
