Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output._Main.HumanModel.BodyModel.Right.Leg.Jnt.Ankle.Vel
 3.383401000000000e+00, 4.611198796473334e-01
 3.400068000000000e+00, 5.194748239362522e-01
 3.416735000000000e+00, 5.453035258320580e-01
 3.433402000000000e+00, 5.247596312173303e-01
 3.450069000000000e+00, 4.522301549461192e-01
 3.466736000000000e+00, 3.303410559085006e-01
 3.483403000000000e+00, 1.597957463106701e-01
 3.500070000000000e+00,-7.013300731613487e-02
 3.516737000000000e+00,-3.827027105489965e-01
 3.533404000000000e+00,-8.234065224888499e-01
 3.550071000000000e+00,-1.480088500877359e+00
 3.566738000000000e+00,-2.464422879773028e+00
 3.583405000000000e+00,-3.813571156605847e+00
 3.600072000000000e+00,-5.360627907517461e+00
 3.616739000000000e+00,-6.673774761482008e+00
 3.633406000000000e+00,-7.168255142292704e+00
 3.650073000000000e+00,-6.441109484070140e+00
 3.666740000000000e+00,-4.582218224379686e+00
 3.683407000000000e+00,-2.086176649288238e+00
 3.700074000000000e+00, 5.013114886242365e-01
 3.716741000000000e+00, 2.764551774130985e+00
 3.733408000000000e+00, 4.407469715583332e+00
 3.750075000000000e+00, 5.283861862677081e+00
 3.766742000000000e+00, 5.456297269606244e+00
 3.783409000000000e+00, 5.141763422155971e+00
 3.800076000000000e+00, 4.574246652221034e+00
 3.816743000000000e+00, 3.912811418361975e+00
 3.833410000000000e+00, 3.232063891620751e+00
 3.850077000000000e+00, 2.553228232790744e+00
 3.866744000000000e+00, 1.874639451195388e+00
 3.883411000000000e+00, 1.191030446618250e+00
 3.900078000000000e+00, 5.207083344577308e-01
 3.916745000000000e+00,-5.149812955542889e-02
 3.933412000000000e+00,-3.980025404338636e-01
 3.950079000000000e+00,-5.085382214022358e-01
 3.966746000000000e+00,-5.328336864459133e-01
 3.983413000000000e+00,-5.799540778717041e-01
 4.000080000000001e+00,-6.567651658566411e-01
 4.016747000000001e+00,-7.759026916184782e-01
 4.033414000000000e+00,-9.476873046310281e-01
 4.050081000000000e+00,-1.110695552118926e+00
 4.066748000000000e+00,-1.142007900283140e+00
 4.083415000000000e+00,-9.422725341997801e-01
 4.100082000000000e+00,-5.165165280238631e-01
 4.116749000000000e+00, 2.030270503455536e-02
 4.133416000000000e+00, 5.163117933402637e-01
 4.150083000000000e+00, 8.624919747301261e-01
 4.166750000000000e+00, 1.019590187135727e+00
 4.183417000000000e+00, 1.003059400983115e+00
 4.200084000000000e+00, 8.619087746840358e-01
 4.216751000000000e+00, 6.610829582115313e-01
 4.233418000000000e+00, 4.622411686429678e-01
 4.250085000000000e+00, 3.073358330583433e-01
 4.266752000000000e+00, 2.136612774731429e-01
 4.283419000000000e+00, 1.795512047850101e-01
 4.300086000000000e+00, 1.930031090529392e-01
 4.316753000000000e+00, 2.382202592537259e-01
 4.333420000000000e+00, 2.993070406389689e-01
 4.350087000000000e+00, 3.613669108499785e-01
 4.366754000000000e+00, 4.101049993302600e-01
 4.383421000000000e+00, 4.321270308206870e-01
 4.400088000000000e+00, 4.175914442834179e-01
 4.416755000000000e+00, 3.634644010586773e-01
 4.433422000000000e+00, 2.681764319486989e-01
 4.450089000000000e+00, 1.166454515954044e-01
 4.466756000000000e+00,-1.238272504488090e-01
 4.483423000000000e+00,-5.013907492137831e-01
 4.500090000000000e+00,-1.096508853918125e+00
 4.516757000000000e+00,-2.026608891980924e+00
 4.533424000000000e+00,-3.376529109434828e+00
 4.550091000000000e+00,-5.066683596168827e+00
 4.566758000000000e+00,-6.748706675913978e+00
 4.583425000000000e+00,-7.825008774137994e+00
 4.600092000000000e+00,-7.687737066274487e+00
 4.616759000000000e+00,-6.128381869249964e+00
 4.633426000000000e+00,-3.518561150134187e+00
 4.650093000000000e+00,-5.061547816915377e-01
 4.666760000000000e+00, 2.350414687362626e+00
 4.683427000000000e+00, 4.636138046249870e+00
 4.700094000000000e+00, 6.054195546545619e+00
 4.716761000000000e+00, 6.520825481516835e+00
 4.733428000000000e+00, 6.207060411885450e+00
 4.750095000000000e+00, 5.412483372023087e+00
 4.766762000000000e+00, 4.407814001794913e+00
 4.783429000000000e+00, 3.368094536602365e+00
 4.800096000000000e+00, 2.381849609300899e+00
 4.816763000000000e+00, 1.482504337638815e+00
 4.833430000000000e+00, 6.793322711849823e-01
 4.850097000000000e+00,-1.335308987104785e-03
 4.866764000000000e+00,-4.756812467299036e-01
 4.883431000000000e+00,-6.636208097340182e-01
 4.900098000000000e+00,-6.468051977964476e-01
 4.916765000000000e+00,-6.110112150835804e-01
 4.933432000000000e+00,-6.217846559814678e-01
 4.950099000000000e+00,-6.549150498875732e-01
 4.966766000000000e+00,-7.359216485501419e-01
 4.983433000000000e+00,-9.001221451274788e-01
 5.000100000000000e+00,-1.094314945077633e+00
 5.016767000000000e+00,-1.173803192256376e+00
 5.033434000000000e+00,-1.001210543519748e+00
 5.050101000000000e+00,-5.591433845061738e-01
 5.066768000000001e+00, 2.736710421297891e-02
 5.083435000000000e+00, 5.780085705624050e-01
 5.100102000000001e+00, 9.620837953447874e-01
 5.116769000000000e+00, 1.133299937011305e+00
 5.133436000000001e+00, 1.107877338024860e+00
 5.150103000000000e+00, 9.389547753162386e-01
 5.166770000000000e+00, 6.989058869704970e-01
 5.183437000000001e+00, 4.589219482746902e-01
 5.200104000000000e+00, 2.700049234056797e-01
 5.216771000000000e+00, 1.561046268809781e-01
 5.233438000000000e+00, 1.189755638826334e-01
 5.250105000000000e+00, 1.465653060014443e-01
 5.266772000000000e+00, 2.202605977968761e-01
 5.283439000000000e+00, 3.204456380746508e-01
 5.300106000000000e+00, 4.293802452208922e-01
 5.316773000000000e+00, 5.311695836097665e-01
 5.333440000000000e+00, 6.109061781453997e-01
 5.350107000000000e+00, 6.554415680092860e-01
 5.366774000000000e+00, 6.559074299429952e-01
 5.383441000000000e+00, 6.059237899431184e-01
 5.400108000000000e+00, 4.918510736839723e-01
 5.416775000000000e+00, 2.892527947740335e-01
 5.433442000000000e+00,-3.155224293591941e-02
 5.450109000000000e+00,-5.135616188974013e-01
 5.466775999999999e+00,-1.231622434569032e+00
